,South Korea_deaths,South Korea_cases
37,11.0,1146.0
38,12.0,1595.0
39,13.0,2022.0
40,16.0,2931.0
41,17.0,3526.0
42,22.0,4212.0
43,28.0,4812.0
44,32.0,5328.0
45,35.0,5766.0
46,42.0,6284.0
47,44.0,6767.0
48,50.0,7134.0
49,51.0,7382.0
50,54.0,7513.0
51,60.0,7755.0
52,66.0,7869.0
53,67.0,7979.0
54,72.0,8086.0
55,75.0,8162.0
56,75.0,8236.0
57,81.0,8320.0
58,86.0,8413.0
59,91.0,8565.0
60,100.0,8652.0
61,103.0,8799.0
62,104.0,8897.0
63,113.0,8961.0
64,120.0,9037.0
65,126.0,9137.0
66,131.0,9241.0
67,139.0,9332.0
68,144.0,9478.0
69,152.0,9583.0
70,158.0,9661.0
71,163.0,9786.0
72,163.0,9786.0
73,169.0,9976.0
74,174.0,10062.0
75,177.0,10156.0
