date,Brazil,China,France,Germany,Iran,Italy,South Korea,Spain,Switzerland,Turkey,United Kingdom,United States
2019-12-31,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-01,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-02,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-03,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-04,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-05,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-06,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-07,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-08,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-09,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-10,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-11,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-12,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-13,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-14,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-15,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-16,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-17,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-18,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-19,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-01-20,0.0,235.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0
2020-01-21,0.0,386.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
2020-01-22,0.0,526.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
2020-01-23,0.0,623.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
2020-01-24,0.0,882.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0
2020-01-25,0.0,1323.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0
2020-01-26,0.0,1988.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,2.0
2020-01-27,0.0,2775.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,5.0
2020-01-28,0.0,4528.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,,0.0,5.0
2020-01-29,0.0,5994.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,5.0
2020-01-30,0.0,7734.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,5.0
2020-01-31,0.0,9714.0,6.0,5.0,0.0,3.0,7.0,0.0,0.0,,2.0,6.0
2020-02-01,0.0,11809.0,6.0,7.0,0.0,3.0,12.0,1.0,0.0,,2.0,7.0
2020-02-02,0.0,14399.0,6.0,8.0,0.0,3.0,15.0,1.0,0.0,,2.0,8.0
2020-02-03,0.0,17211.0,6.0,9.0,0.0,3.0,15.0,1.0,0.0,,2.0,11.0
2020-02-04,0.0,20448.0,6.0,11.0,0.0,3.0,16.0,1.0,0.0,,2.0,11.0
2020-02-05,0.0,24320.0,6.0,11.0,0.0,3.0,18.0,1.0,0.0,,2.0,11.0
2020-02-06,0.0,28047.0,6.0,11.0,0.0,3.0,23.0,1.0,0.0,,2.0,12.0
2020-02-07,0.0,31207.0,6.0,12.0,0.0,3.0,24.0,1.0,0.0,,3.0,12.0
2020-02-08,0.0,34625.0,11.0,13.0,0.0,3.0,24.0,1.0,0.0,,3.0,12.0
2020-02-09,0.0,37232.0,11.0,13.0,0.0,3.0,25.0,1.0,0.0,,4.0,12.0
2020-02-10,0.0,40206.0,11.0,13.0,0.0,3.0,27.0,2.0,0.0,,4.0,12.0
2020-02-11,0.0,42696.0,11.0,13.0,0.0,3.0,28.0,2.0,0.0,,8.0,13.0
2020-02-12,0.0,44724.0,11.0,15.0,0.0,3.0,28.0,2.0,0.0,,8.0,13.0
2020-02-13,0.0,59865.0,11.0,15.0,0.0,3.0,28.0,2.0,0.0,,9.0,14.0
2020-02-14,0.0,64021.0,11.0,15.0,0.0,3.0,28.0,2.0,0.0,,9.0,15.0
2020-02-15,0.0,66559.0,11.0,15.0,0.0,3.0,28.0,2.0,0.0,,9.0,15.0
2020-02-16,0.0,68566.0,11.0,15.0,0.0,3.0,29.0,2.0,0.0,,9.0,15.0
2020-02-17,0.0,70618.0,12.0,15.0,0.0,3.0,30.0,2.0,0.0,,9.0,15.0
2020-02-18,0.0,72508.0,12.0,15.0,0.0,3.0,31.0,2.0,0.0,,9.0,15.0
2020-02-19,0.0,74258.0,12.0,15.0,0.0,3.0,46.0,2.0,0.0,,9.0,15.0
2020-02-20,0.0,74652.0,12.0,15.0,2.0,3.0,80.0,2.0,0.0,,9.0,15.0
2020-02-21,0.0,75543.0,12.0,15.0,5.0,3.0,155.0,2.0,0.0,,9.0,16.0
2020-02-22,0.0,76369.0,12.0,15.0,18.0,17.0,345.0,2.0,0.0,,9.0,35.0
2020-02-23,0.0,77016.0,12.0,15.0,28.0,79.0,601.0,2.0,0.0,,9.0,35.0
2020-02-24,0.0,77234.0,12.0,15.0,43.0,132.0,762.0,2.0,0.0,,13.0,35.0
2020-02-25,0.0,77749.0,12.0,15.0,61.0,229.0,892.0,3.0,0.0,,13.0,53.0
2020-02-26,1.0,78159.0,14.0,17.0,95.0,322.0,1146.0,7.0,1.0,,13.0,53.0
2020-02-27,1.0,78598.0,17.0,21.0,139.0,400.0,1595.0,12.0,1.0,,13.0,59.0
2020-02-28,1.0,78927.0,38.0,47.0,245.0,650.0,2022.0,25.0,8.0,,16.0,60.0
2020-02-29,1.0,79355.0,57.0,57.0,388.0,888.0,2931.0,34.0,12.0,,18.0,66.0
2020-03-01,2.0,79929.0,100.0,111.0,593.0,1128.0,3526.0,66.0,18.0,,23.0,69.0
2020-03-02,2.0,80134.0,130.0,129.0,978.0,1689.0,4212.0,83.0,24.0,,36.0,89.0
2020-03-03,,80261.0,178.0,157.0,1501.0,1835.0,4812.0,114.0,30.0,,40.0,103.0
2020-03-04,,80380.0,212.0,196.0,2336.0,2502.0,5328.0,151.0,37.0,,51.0,125.0
2020-03-05,3.0,80497.0,285.0,262.0,2922.0,3089.0,5766.0,200.0,57.0,,85.0,159.0
2020-03-06,8.0,80667.0,423.0,400.0,3513.0,3858.0,6284.0,261.0,87.0,,115.0,233.0
2020-03-07,13.0,80768.0,613.0,684.0,4747.0,4636.0,6767.0,374.0,209.0,,163.0,338.0
2020-03-08,13.0,80814.0,716.0,847.0,5823.0,5883.0,7134.0,430.0,264.0,,206.0,433.0
2020-03-09,25.0,80859.0,1126.0,902.0,6566.0,7375.0,7382.0,589.0,332.0,,273.0,554.0
2020-03-10,,80879.0,1412.0,1139.0,7161.0,9172.0,7513.0,1204.0,374.0,,321.0,754.0
2020-03-11,34.0,80908.0,1784.0,1296.0,8042.0,10149.0,7755.0,1639.0,490.0,,373.0,1025.0
2020-03-12,52.0,80932.0,2281.0,1567.0,9000.0,12462.0,7869.0,2140.0,642.0,1.0,456.0,1312.0
2020-03-13,77.0,80954.0,2876.0,2369.0,10075.0,15113.0,7979.0,3004.0,854.0,2.0,590.0,1663.0
2020-03-14,98.0,80973.0,3661.0,3062.0,11364.0,17660.0,8086.0,4231.0,1121.0,,707.0,2174.0
2020-03-15,121.0,80995.0,4499.0,3795.0,12729.0,17750.0,8162.0,5753.0,1359.0,,1140.0,2951.0
2020-03-16,200.0,81020.0,5423.0,4838.0,13938.0,23980.0,8236.0,7753.0,2200.0,18.0,1391.0,3774.0
2020-03-17,234.0,81063.0,6633.0,6012.0,14991.0,27980.0,8320.0,9191.0,2200.0,47.0,1543.0,4661.0
2020-03-18,291.0,81086.0,7730.0,7156.0,16169.0,31506.0,8413.0,11178.0,2650.0,98.0,1950.0,6427.0
2020-03-19,428.0,81130.0,9134.0,8198.0,17361.0,35713.0,8565.0,13716.0,3010.0,191.0,2630.0,9415.0
2020-03-20,621.0,81229.0,10995.0,14138.0,18407.0,41035.0,8652.0,17147.0,3888.0,359.0,3277.0,14250.0
2020-03-21,904.0,81281.0,12612.0,18187.0,19644.0,47021.0,8799.0,19980.0,4840.0,670.0,3983.0,19624.0
2020-03-22,1128.0,81346.0,14459.0,21463.0,20610.0,53578.0,8897.0,24926.0,6077.0,947.0,5018.0,26747.0
2020-03-23,1546.0,81484.0,16018.0,24774.0,21638.0,59138.0,8961.0,28572.0,6971.0,1236.0,5683.0,35206.0
2020-03-24,1891.0,81553.0,19856.0,29212.0,23049.0,63927.0,9037.0,33089.0,8015.0,1529.0,6650.0,46442.0
2020-03-25,2201.0,81631.0,22302.0,31554.0,24811.0,69176.0,9137.0,39673.0,8789.0,1872.0,8077.0,55231.0
2020-03-26,2433.0,81733.0,25233.0,36508.0,27017.0,74386.0,9241.0,47610.0,9714.0,2433.0,9529.0,69194.0
2020-03-27,2915.0,81827.0,29155.0,42288.0,29406.0,80539.0,9332.0,56188.0,10714.0,3629.0,11658.0,85991.0
2020-03-28,3417.0,81946.0,32964.0,48582.0,32332.0,86498.0,9478.0,64059.0,12104.0,5698.0,14543.0,104686.0
2020-03-29,3904.0,82059.0,37575.0,52547.0,35408.0,92472.0,9583.0,72248.0,13152.0,7402.0,17089.0,124665.0
2020-03-30,4256.0,82157.0,40174.0,57298.0,38309.0,97689.0,9661.0,78797.0,14274.0,9217.0,19522.0,143025.0
2020-03-31,4579.0,82241.0,44550.0,61913.0,41495.0,101739.0,9786.0,85195.0,15412.0,11535.0,22141.0,164620.0
2020-04-01,5717.0,82295.0,52128.0,67366.0,44606.0,105792.0,9786.0,94417.0,16108.0,13531.0,25150.0,189618.0
2020-04-02,6836.0,82395.0,56989.0,73522.0,47593.0,110574.0,9976.0,102136.0,17070.0,15679.0,29474.0,216721.0
2020-04-03,7910.0,82465.0,59105.0,73522.0,50468.0,115242.0,10062.0,110238.0,18844.0,18135.0,33718.0,245540.0
2020-04-04,9056.0,82527.0,,79696.0,50468.0,119827.0,10156.0,117710.0,19706.0,20921.0,38168.0,277965.0
