,China,France,Germany,Iran,Italy,Spain,Switzerland,Turkey,United Kingdom,United States,Brazil,South Korea
20,235,11.0,15.0,8042.0,3.0,2.0,2200.0,18135.0,9.0,12.0,621.0,25.0
21,386,11.0,15.0,9000.0,3.0,2.0,2650.0,20921.0,9.0,13.0,904.0,27.0
22,526,11.0,15.0,10075.0,17.0,2.0,3010.0,,9.0,13.0,1128.0,28.0
23,623,12.0,15.0,11364.0,79.0,2.0,3888.0,,9.0,14.0,1546.0,28.0
24,882,12.0,15.0,12729.0,132.0,3.0,4840.0,,13.0,15.0,1891.0,28.0
25,1323,12.0,15.0,13938.0,229.0,7.0,6077.0,,13.0,15.0,2201.0,28.0
26,1988,12.0,15.0,14991.0,322.0,12.0,6971.0,,13.0,15.0,2433.0,28.0
27,2775,12.0,15.0,16169.0,400.0,25.0,8015.0,,13.0,15.0,2915.0,29.0
28,4528,12.0,15.0,17361.0,650.0,34.0,8789.0,,16.0,15.0,3417.0,30.0
29,5994,12.0,17.0,18407.0,888.0,66.0,9714.0,,18.0,15.0,3904.0,31.0
30,7734,12.0,21.0,19644.0,1128.0,83.0,10714.0,,23.0,15.0,4256.0,46.0
31,9714,12.0,47.0,20610.0,1689.0,114.0,12104.0,,36.0,16.0,4579.0,80.0
32,11809,14.0,57.0,21638.0,1835.0,151.0,13152.0,,40.0,35.0,5717.0,155.0
33,14399,17.0,111.0,23049.0,2502.0,200.0,14274.0,,51.0,35.0,6836.0,345.0
34,17211,38.0,129.0,24811.0,3089.0,261.0,15412.0,,85.0,35.0,7910.0,601.0
35,20448,57.0,157.0,27017.0,3858.0,374.0,16108.0,,115.0,53.0,9056.0,762.0
36,24320,100.0,196.0,29406.0,4636.0,430.0,17070.0,,163.0,53.0,,892.0
37,28047,130.0,262.0,32332.0,5883.0,589.0,18844.0,,206.0,59.0,,1146.0
38,31207,178.0,400.0,35408.0,7375.0,1204.0,19706.0,,273.0,60.0,,1595.0
39,34625,212.0,684.0,38309.0,9172.0,1639.0,,,321.0,66.0,,2022.0
40,37232,285.0,847.0,41495.0,10149.0,2140.0,,,373.0,69.0,,2931.0
41,40206,423.0,902.0,44606.0,12462.0,3004.0,,,456.0,89.0,,3526.0
42,42696,613.0,1139.0,47593.0,15113.0,4231.0,,,590.0,103.0,,4212.0
43,44724,716.0,1296.0,50468.0,17660.0,5753.0,,,707.0,125.0,,4812.0
44,59865,1126.0,1567.0,50468.0,17750.0,7753.0,,,1140.0,159.0,,5328.0
45,64021,1412.0,2369.0,,23980.0,9191.0,,,1391.0,233.0,,5766.0
46,66559,1784.0,3062.0,,27980.0,11178.0,,,1543.0,338.0,,6284.0
47,68566,2281.0,3795.0,,31506.0,13716.0,,,1950.0,433.0,,6767.0
48,70618,2876.0,4838.0,,35713.0,17147.0,,,2630.0,554.0,,7134.0
49,72508,3661.0,6012.0,,41035.0,19980.0,,,3277.0,754.0,,7382.0
